,away_team,home_team,week,,,,,
0,University of Oregon,San Jose State (gold),,,,36 matches ,6 weeks  ,6 matches per week
1,CSULA Black,San Jose State (gold),,,,,,
2,University of Arizona,San Jose State (gold),,,,,,
3,CSUSB Acad ,San Jose State (gold),,,,,,
4,CSULB Black,San Jose State (gold),WEEK1,,,,,
5,San Jose State (gold),University of Oregon,WEEK1,,,,,
6,CSULA Black,University of Oregon,,,,,,
7,University of Arizona,University of Oregon,,,,,,
8,CSUSB Acad ,University of Oregon,,,,,,
9,CSULB Black,University of Oregon,,,,,,
10,San Jose State (gold),CSULA Black,,,,,,
11,University of Oregon,CSULA Black,WEEK1,,,,,
12,University of Arizona,CSULA Black,,,,,,
13,CSUSB Acad ,CSULA Black,,,,,,
14,CSULB Black,CSULA Black,,,,,,
15,San Jose State (gold),University of Arizona,,,,,,
16,University of Oregon,University of Arizona,,,,,,
17,CSULA Black,University of Arizona,WEEK1,,,,,
18,CSUSB Acad ,University of Arizona,,,,,,
19,CSULB Black,University of Arizona,,,,,,
20,San Jose State (gold),CSUSB Acad ,,,,,,
21,University of Oregon,CSUSB Acad ,,,,,,
22,CSULA Black,CSUSB Acad ,,,,,,
23,University of Arizona,CSUSB Acad ,WEEK1,,,,,
24,CSULB Black,CSUSB Acad ,,,,,,
25,San Jose State (gold),CSULB Black,,,,,,
26,University of Oregon,CSULB Black,,,,,,
27,CSULA Black,CSULB Black,,,,,,
28,University of Arizona,CSULB Black,,,,,,
29,CSUSB Acad ,CSULB Black,WEEK1,,,,,
30,University of Oregon,San Jose State (gold),,,,,,
31,CSULA Black,San Jose State (gold),,,,,,
32,CSULA Black,University of Oregon,,,,,,
33,CSUSB Acad ,University of Arizona,,,,,,
34,CSULB Black,University of Arizona,,,,,,
35,CSULB Black,CSUSB Acad ,,,,,,
