,away_team,home_team,week,,,,,
0,James Madison University,Purdue University Northwest,,,,42 matches,6 weeks,7 matches per week
1,Full Sail University (Team Name: Full Sail Armada),Purdue University Northwest,,,,,,
2,Concord University ,Purdue University Northwest,,,,,,
3,UCF Knights,Purdue University Northwest,,,,,,
4,Newberry College JV,Purdue University Northwest,,,,,,
5,Thunderbirds Blue (FGCU),Purdue University Northwest,WEEK1,,,,,
6,Purdue University Northwest,James Madison University,WEEK1,,,,,
7,Full Sail University (Team Name: Full Sail Armada),James Madison University,,,,,,
8,Concord University ,James Madison University,,,,,,
9,UCF Knights,James Madison University,,,,,,
10,Newberry College JV,James Madison University,,,,,,
11,Thunderbirds Blue (FGCU),James Madison University,,,,,,
12,Purdue University Northwest,Full Sail University (Team Name: Full Sail Armada),,,,,,
13,James Madison University,Full Sail University (Team Name: Full Sail Armada),WEEK1,,,,,
14,Concord University ,Full Sail University (Team Name: Full Sail Armada),,,,,,
15,UCF Knights,Full Sail University (Team Name: Full Sail Armada),,,,,,
16,Newberry College JV,Full Sail University (Team Name: Full Sail Armada),,,,,,
17,Thunderbirds Blue (FGCU),Full Sail University (Team Name: Full Sail Armada),,,,,,
18,Purdue University Northwest,Concord University ,,,,,,
19,James Madison University,Concord University ,,,,,,
20,Full Sail University (Team Name: Full Sail Armada),Concord University ,WEEK1,,,,,
21,UCF Knights,Concord University ,,,,,,
22,Newberry College JV,Concord University ,,,,,,
23,Thunderbirds Blue (FGCU),Concord University ,,,,,,
24,Purdue University Northwest,UCF Knights,,,,,,
25,James Madison University,UCF Knights,,,,,,
26,Full Sail University (Team Name: Full Sail Armada),UCF Knights,,,,,,
27,Concord University ,UCF Knights,WEEK1,,,,,
28,Newberry College JV,UCF Knights,,,,,,
29,Thunderbirds Blue (FGCU),UCF Knights,,,,,,
30,Purdue University Northwest,Newberry College JV,,,,,,
31,James Madison University,Newberry College JV,,,,,,
32,Full Sail University (Team Name: Full Sail Armada),Newberry College JV,,,,,,
33,Concord University ,Newberry College JV,,,,,,
34,UCF Knights,Newberry College JV,WEEK1,,,,,
35,Thunderbirds Blue (FGCU),Newberry College JV,,,,,,
36,Purdue University Northwest,Thunderbirds Blue (FGCU),,,,,,
37,James Madison University,Thunderbirds Blue (FGCU),,,,,,
38,Full Sail University (Team Name: Full Sail Armada),Thunderbirds Blue (FGCU),,,,,,
39,Concord University ,Thunderbirds Blue (FGCU),,,,,,
40,UCF Knights,Thunderbirds Blue (FGCU),,,,,,
41,Newberry College JV,Thunderbirds Blue (FGCU),WEEK1,,,,,
