Date,Time,Title,Buy-in Per Player,Platforms,Team Size,Tournament Type (Ex: Single Elimination),Players in Match,Number of Teams Registered,Series Type (Ex: Best of 3),Prize Pool,Profit
"January 19, 2024",8:56 PM,2v2 NOV/AM CONSOLE SND,$6,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,2,Best of 3,$28,-4.0
"January 19, 2024",6:00 PM,5v5 $1000 TST x KONTROL FREEK PROSIM TOURNAMENT (REG CLOSES @ 8 EST),$0,"['xbox', 'playstation', 'battle.net']",5,single elimination,5v5,11,Best of 3,$1000,-1000.0
"January 20, 2024",12:55 AM,2v2 NOV/AM SND,$6,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,2,Best of 3,$22,2.0
"January 19, 2024",4:25 PM,2v2 *DOLLAR ENTRY* 1ND SND,$1,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,3,Best of 1,$4,2.0
"January 19, 2024",3:55 PM,2v2 $40 GTD CONSOLE 1ND SND,$5,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,2,Best of 1,$20,0.0
