,away_team,home_team
week0,Night Owls(FAU),Kennesaw State University
week0,UCF Knights Gray,Florida Polytechnic University
week0,UCF Knights Academy,University of Alabama
week0,Night Owls(FAU),Kennesaw State University
week0,UCF Knights Gray,Florida Polytechnic University
week0,UCF Knights Academy,University of Alabama
week1,Florida Polytechnic University,Kennesaw State University
week1,UCF Knights Gray,Night Owls(FAU)
week1,University of Alabama,UCF Knights Academy
week1,Florida Polytechnic University,Kennesaw State University
week1,UCF Knights Gray,Night Owls(FAU)
week1,University of Alabama,UCF Knights Academy
week2,UCF Knights Gray,Kennesaw State University
week2,Florida Polytechnic University,Night Owls(FAU)
week2,UCF Knights Academy,University of Alabama
week2,UCF Knights Gray,Kennesaw State University
week2,Florida Polytechnic University,Night Owls(FAU)
week2,UCF Knights Academy,University of Alabama
week3,University of Alabama,Kennesaw State University
week3,UCF Knights Academy,Night Owls(FAU)
week3,Florida Polytechnic University,UCF Knights Gray
week3,University of Alabama,Kennesaw State University
week3,UCF Knights Academy,Night Owls(FAU)
week3,Florida Polytechnic University,UCF Knights Gray
week4,UCF Knights Academy,Kennesaw State University
week4,University of Alabama,Night Owls(FAU)
week4,Florida Polytechnic University,Kennesaw State University
week4,UCF Knights Gray,Kennesaw State University
week4,UCF Knights Academy,Kennesaw State University
week4,Kennesaw State University,Night Owls(FAU)
week4,Kennesaw State University,Florida Polytechnic University
week4,Kennesaw State University,UCF Knights Gray
week4,Kennesaw State University,University of Alabama
week5,Kennesaw State University,Night Owls(FAU)
week5,University of Alabama,Florida Polytechnic University
week5,UCF Knights Academy,UCF Knights Gray
week5,University of Alabama,Night Owls(FAU)
week5,UCF Knights Academy,Florida Polytechnic University
