,away_team,home_team
week0,Shenandoah University,Eastern Michigan University 
week0,McMaster Marauders,Cumberland University
week0,Rutgers ,Fanshawe College
week0,University of Akron,Eastern Michigan University 
week0,Cumberland University,Shenandoah University
week0,Fanshawe College,McMaster Marauders
week0,University of Akron,Rutgers 
week1,Cumberland University,Eastern Michigan University 
week1,McMaster Marauders,Shenandoah University
week1,University of Akron,Fanshawe College
week1,Rutgers ,Eastern Michigan University 
week1,McMaster Marauders,Shenandoah University
week1,Fanshawe College,Cumberland University
week1,Rutgers ,University of Akron
week2,McMaster Marauders,Eastern Michigan University 
week2,Cumberland University,Shenandoah University
week2,Fanshawe College,Rutgers 
week2,University of Akron,Shenandoah University
week2,Cumberland University,Eastern Michigan University 
week2,Rutgers ,McMaster Marauders
week2,University of Akron,Fanshawe College
week3,Fanshawe College,Eastern Michigan University 
week3,Rutgers ,Shenandoah University
week3,University of Akron,Cumberland University
week3,McMaster Marauders,Eastern Michigan University 
week3,Fanshawe College,Shenandoah University
week3,McMaster Marauders,Cumberland University
week4,Rutgers ,Eastern Michigan University 
week4,Fanshawe College,Shenandoah University
week4,Cumberland University,McMaster Marauders
week4,University of Akron,Cumberland University
week4,Shenandoah University,Eastern Michigan University 
week4,University of Akron,McMaster Marauders
week4,Rutgers ,Fanshawe College
week5,University of Akron,Eastern Michigan University 
week5,Shenandoah University,Cumberland University
week5,Fanshawe College,McMaster Marauders
week5,Rutgers ,Shenandoah University
week5,McMaster Marauders,Eastern Michigan University 
week5,Rutgers ,Cumberland University
week5,Fanshawe College,University of Akron
