player,gameMode,kills,deaths,damage,objMainStat,kdRatio
Simp,Control,38,26,6587,4,1.4615384615384615
Simp,Hardpoint,55,46,9436,64,1.1956521739130435
Simp,SND,14,15,3482,2,0.9333333333333333
Skyz,Control,29,28,6532,0,1.0357142857142858
Skyz,Hardpoint,71,80,15376,253,0.8875
Skyz,SND,21,22,4688,5,0.9545454545454546
SlasheR,Control,17,22,3911,4,0.7727272727272727
SlasheR,Hardpoint,61,57,12600,137,1.0701754385964912
SlasheR,SND,17,11,3973,6,1.5454545454545454
Snoopy,Control,28,31,5440,5,0.9032258064516129
Snoopy,Hardpoint,63,58,11340,279,1.0862068965517242
Snoopy,SND,10,12,2519,0,0.8333333333333334
TJHaly,Control,15,27,3136,2,0.5555555555555556
TJHaly,Hardpoint,26,27,4800,11,0.9629629629629629
TJHaly,SND,6,7,1440,1,0.8571428571428571
Vikul,Control,38,35,6619,9,1.0857142857142856
Vikul,Hardpoint,48,44,9255,153,1.0909090909090908
Vikul,SND,10,14,2551,1,0.7142857142857143
Vivid,Control,23,25,4477,2,0.92
Vivid,Hardpoint,26,28,4931,36,0.9285714285714286
Vivid,SND,8,8,2151,1,1.0
aBeZy,Control,31,25,5391,3,1.24
aBeZy,Hardpoint,35,50,7120,122,0.7
aBeZy,SND,6,15,1815,2,0.4
